Субъект,Количество
Московская область,1700
Краснодарский край,1600
Приморский край,1212
Астраханская область,867
Вологодская область,851
Республика Коми,845
Республика Башкортостан,815
Курганская область,801
Нижегородская область,778
Оренбургская область,769
Республика Крым,718
Красноярский край,681
Республика Калмыкия,662
Сахалинская область,640
Свердловская область,638
Пермский край,631
г. Санкт-Петербург,605
Удмуртская Республика,544
Самарская область,502
Ульяновская область,456
Архангельская область,435
Забайкальский край,425
Алтайский край,418
Калужская область,411
Хабаровский край,392
Карачаево-Черкесская Республика,388
Республика Татарстан,364
Смоленская область,357
Тюменская область,341
Курская область,334
Челябинская область,324
Республика Саха (Якутия),323
Республика Дагестан,304
Ханты-Мансийский автономный округ,299
Ямало-Ненецкий автономный округ,295
Республика Мордовия,293
Рязанская область,288
Амурская область,284
Ростовская область,279
Республика Тыва,277
Тульская область,275
Саратовская область,274
Кабардино-Балкарская Республика,273
Липецкая область,272
Брянская область,265
Мурманская область,261
Республика Бурятия,253
г. Москва,248
Кировская область,242
Омская область,237
Республика Алтай,234
Ставропольский край,232
Новгородская область,227
Чувашская Республика,223
Камчатский край,223
Томская область,208
Республика Карелия,191
Новосибирская область,188
Кемеровская область,166
Волгоградская область,160
Ярославская область,154
Еврейская автономная область,153
Республика Северная Осетия,140
Псковская область,139
nothing,139
Калининградская область,139
Тверская область,134
Костромская область,132
Тамбовская область,125
Ленинградская область,121
Владимирская область,117
Республика Ингушетия,113
Орловская область,110
Республика Марий Эл,107
Воронежская область,102
Белгородская область,99
Республика Адыгея,95
Иркутская область,92
Республика Хакассия,69
Ненецкий автономный округ,67
Чеченская Республика,59
Чукотский автономный округ,53
Пензенская область,46
Ивановская область,38
г. Севастополь,25
Магаданская область,14
